id,name,salary,departmentId
1,Daniel,76565,7
2,David,46535,4
3,Jane,99323,4
4,Alice,50719,3
5,Sarah,69213,3
6,Michael,67873,6
7,Robert,50182,2
8,Michael,47817,7
9,Emily,47274,2
10,Michael,83461,6
11,John,82648,3
12,Robert,40094,7
13,Sarah,53040,10
14,Jane,99760,9
15,Robert,47253,4
16,Emily,60309,8
17,Sarah,66640,10
18,John,62176,5
19,Alice,57131,4
20,Daniel,59919,7
21,James,63707,4
22,Emily,68359,8
23,Sarah,74107,4
24,Daniel,66937,10
25,Michael,84251,7
26,Michael,42994,10
27,James,79427,6
28,David,67216,4
29,Daniel,55402,6
30,James,55492,5
31,John,78677,10
32,Alice,41385,6
33,Robert,90942,6
34,Jane,74956,9
35,Emily,93759,6
36,John,86812,2
37,Robert,41746,9
38,Alice,53238,3
39,Emily,79682,10
40,John,66425,4
41,David,77307,7
42,Michael,61408,8
43,Sarah,61252,3
44,Michael,74977,8
45,Daniel,53570,9
46,John,93884,1
47,Sarah,45292,1
48,John,49598,2
49,Robert,50242,9
50,Daniel,55880,5
51,James,50480,1
52,Michael,64041,5
53,Robert,79222,6
54,Sarah,52623,6
55,Daniel,73842,2
56,Michael,89058,3
57,Michael,51379,4
58,Jane,74395,6
59,Daniel,82389,2
60,James,71478,6
61,Jane,96861,9
62,Jane,90705,7
63,Michael,99393,8
64,Alice,60574,6
65,Alice,45738,10
66,David,48883,8
67,Alice,98615,4
68,Daniel,66490,5
69,Alice,53800,4
70,Emily,81685,6
71,Sarah,54503,5
72,Alice,71566,8
73,Robert,90019,9
74,Jane,99963,9
75,Daniel,81886,6
76,Alice,49076,5
77,Daniel,72009,3
78,Daniel,69522,8
79,James,80938,7
80,Michael,99055,3
81,Alice,79213,8
82,Jane,55698,3
83,Emily,64779,9
84,John,94868,2
85,John,67117,7
86,Robert,53326,7
87,Daniel,97645,4
88,Sarah,97143,1
89,Michael,98026,10
90,Robert,72081,6
91,David,54149,8
92,Daniel,86683,10
93,Jane,80669,5
94,Robert,49623,2
95,John,57312,4
96,Jane,44923,10
97,Michael,56685,7
98,Sarah,49227,7
99,Jane,95845,3
100,James,71065,7
101,Sarah,70600,1
102,Jane,42519,2
103,Emily,79469,4
104,John,63740,4
105,John,81175,7
106,Robert,55034,9
107,Emily,96700,3
108,Michael,76162,3
109,James,51510,8
110,David,76149,8
111,Jane,56998,7
112,Jane,76000,1
113,David,73175,6
114,Emily,56131,5
115,Daniel,90257,10
116,Michael,87858,6
117,James,65372,7
118,Michael,41427,8
119,Michael,59225,9
120,David,92451,9
121,Emily,99843,7
122,Robert,66069,10
123,Daniel,87995,1
124,David,48780,6
125,James,50146,10
126,James,84887,8
127,James,51295,10
128,Jane,51980,1
129,John,47757,9
130,David,74646,6
131,Daniel,44044,10
132,John,45893,7
133,Jane,53279,6
134,David,45750,3
135,Daniel,71035,1
136,Jane,87367,3
137,Michael,64996,9
138,David,62578,9
139,Sarah,62053,3
140,Daniel,88701,9
141,Jane,88672,5
142,Emily,66335,5
143,Robert,88905,8
144,Sarah,68889,5
145,Daniel,76168,6
146,Michael,48629,6
147,Alice,60237,2
148,David,48342,2
149,Daniel,53790,10
150,Robert,74710,5
151,Michael,51925,9
152,Emily,46605,6
153,Sarah,81235,7
