employee_id,name,salary
1,Ivy,42951
2,Hannah,72063
3,Paul,104312
4,Steve,103483
5,Bob,54099
6,Frank,101158
7,Nancy,103955
8,Liam,94251
9,Frank,34243
10,Mona,111707
11,Grace,30204
12,Kevin,103663
13,Bob,106048
14,Liam,50269
15,Hannah,66927
16,Kevin,54638
17,Mona,60938
18,Grace,106868
19,Grace,78675
20,Emma,116076
21,Kevin,84990
22,Rachel,101871
23,David,92990
24,Mona,67856
25,Grace,91194
26,Rachel,64501
27,Bob,33805
28,Emma,103697
29,Quinn,50423
30,Oscar,45750
31,Steve,74806
32,Rachel,55874
33,Hannah,77617
34,Emma,47643
35,Quinn,119973
36,Liam,107545
37,Jack,54116
38,Tom,31642
39,Mona,41498
40,Paul,53740
41,Hannah,82577
42,Alice,91546
43,Hannah,104903
44,Oscar,66171
45,Quinn,48802
46,Frank,86170
47,Charlie,33897
48,Ivy,44021
49,David,73635
50,Paul,118965
51,Quinn,109729
52,Bob,40856
53,Steve,104099
54,David,110935
55,Frank,52513
56,Emma,41381
57,Frank,95687
58,Jack,49702
59,Emma,67086
60,Kevin,64432
61,Hannah,34593
62,Grace,57495
63,Alice,56944
64,Tom,56145
65,Jack,60168
66,Frank,63889
67,Jack,71533
68,Mona,117737
69,Rachel,77663
70,Grace,49550
71,Rachel,48450
72,Hannah,110894
73,Frank,45936
74,Bob,80591
75,Bob,62301
76,Emma,43174
77,Liam,104946
78,Alice,109371
79,Ivy,56866
80,Hannah,118715
81,Hannah,109239
82,Paul,97791
83,Quinn,64709
84,Steve,42377
85,Steve,49653
86,Rachel,93830
87,Ivy,51190
88,Liam,103261
89,Liam,64834
90,Kevin,40557
91,David,65305
92,Emma,111397
93,Paul,119950
94,Quinn,42783
95,Mona,42957
96,Paul,44275
97,Ivy,108905
98,Emma,78117
99,Bob,100930
100,Alice,93890
